"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-11","8.50",",,W","0.00",",,W,2400","0.0",",,W","24","H,,S","32",",,W","18",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-12","6.93",",,W","0.05",",,W,2400","0.4",",,W","26","H,,S","36",",,W","18",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-13","10.51",",,W","0.24",",,W,2400","3.9",",,W","29","H,,S","31",",,W","27",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-14","14.09",",,W","0.19",",,W,2400","3.4",",,W","25","H,,S","28",",,W","19",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-15","11.41",",,W","0.00",",,W,2400","0.0",",,W","24","H,,S","33",",,W","16",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-16","6.49",",,W","0.00",",,W,2400","0.0",",,W","29","H,,S","42",",,W","18",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-17","10.29",",,W","0.03",",,W,2400","0.0","T,,W","38","H,,S","50",",,W","36",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-18","12.97",",,W","0.00",",,W,2400","0.0",",,W","42","H,,S","45",",,W","32",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-19","8.50",",,W","0.00",",,W,2400","0.0",",,W","41","H,,S","53",",,W","29",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-20","8.28",",,W","0.13",",,W,2400","0.0",",,W","49","H,,S","54",",,W","37",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-21","12.30",",,W","0.00",",,W,2400","0.0",",,W","44","H,,S","54",",,W","33",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-22","11.86",",,W","0.00",",,W,2400","0.0",",,W","33","H,,S","37",",,W","28",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-23","12.75",",,W","0.02",",,W,2400","0.0",",,W","37","H,,S","50",",,W","29",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-24","15.66",",,W","0.00","T,,W,2400","0.0",",,W","58","H,,S","82",",,W","42",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-25","11.63",",,W","0.71",",,W,2400","0.0",",,W","43","H,,S","47",",,W","41",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-26","7.61",",,W","0.30",",,W,2400","0.0",",,W","51","H,,S","62",",,W","47",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-27","7.38",",,W","0.00","T,,W,2400","0.0",",,W","50","H,,S","52",",,W","42",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-28","10.51",",,W","0.00",",,W,2400","0.0",",,W","44","H,,S","50",",,W","36",",,W"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","41.995","-87.9336","201.8","2017-03-29","11.86",",,W","0.11",",,W,2400","0.0",",,W","41","H,,S","49",",,W","35",",,W"
